filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
680_45.jpg,49558,{},3,0,"{""name"":""point"",""cx"":108,""cy"":389}","{""Present Curb Ramp"":""1\n""}"
680_45.jpg,49558,{},3,1,"{""name"":""point"",""cx"":160,""cy"":389}","{""Present Curb Ramp"":""1""}"
680_45.jpg,49558,{},3,2,"{""name"":""point"",""cx"":607,""cy"":453}","{""Present Curb Ramp"":""1""}"
680_135.jpg,51194,{},6,0,"{""name"":""point"",""cx"":18,""cy"":475}","{""Present Curb Ramp"":""1""}"
680_135.jpg,51194,{},6,1,"{""name"":""point"",""cx"":245,""cy"":413}","{""Present Curb Ramp"":""1""}"
680_135.jpg,51194,{},6,2,"{""name"":""point"",""cx"":266,""cy"":392}","{""Obstacle"":""5""}"
680_135.jpg,51194,{},6,3,"{""name"":""point"",""cx"":545,""cy"":373}","{""Obstacle"":""5""}"
680_135.jpg,51194,{},6,4,"{""name"":""point"",""cx"":560,""cy"":389}","{""Present Curb Ramp"":""1\n""}"
680_135.jpg,51194,{},6,5,"{""name"":""point"",""cx"":591,""cy"":374}","{""Obstacle"":""1\n""}"
680_225.jpg,47450,{},4,0,"{""name"":""point"",""cx"":179,""cy"":411}","{""Surface Problem"":""1""}"
680_225.jpg,47450,{},4,1,"{""name"":""point"",""cx"":427,""cy"":386}","{""Obstacle"":""3""}"
680_225.jpg,47450,{},4,2,"{""name"":""point"",""cx"":520,""cy"":401}","{""Present Curb Ramp"":""1""}"
680_225.jpg,47450,{},4,3,"{""name"":""point"",""cx"":540,""cy"":379}","{""Obstacle"":""3""}"
680_315.jpg,51663,{},1,0,"{""name"":""point"",""cx"":281,""cy"":359}","{""Present Curb Ramp"":""1""}"
877_45.jpg,31448,{},0,0,{},{}
877_135.jpg,37327,{},0,0,{},{}
877_225.jpg,39468,{},2,0,"{""name"":""point"",""cx"":416,""cy"":360}","{""Present Curb Ramp"":""1""}"
877_225.jpg,39468,{},2,1,"{""name"":""point"",""cx"":581,""cy"":358}","{""Missing Curb Ramp"":""1""}"
877_315.jpg,35103,{},0,0,{},{}
1042_45.jpg,45436,{},3,0,"{""name"":""point"",""cx"":281,""cy"":447}","{""Obstacle"":""3""}"
1042_45.jpg,45436,{},3,1,"{""name"":""point"",""cx"":90,""cy"":380}","{""Obstacle"":""1""}"
1042_45.jpg,45436,{},3,2,"{""name"":""point"",""cx"":69,""cy"":363}","{""Obstacle"":""2""}"
1042_135.jpg,38978,{},1,0,"{""name"":""point"",""cx"":526,""cy"":347}","{""Obstacle"":""2""}"
1042_225.jpg,45898,{},0,0,{},{}
1042_315.jpg,46631,{},4,0,"{""name"":""point"",""cx"":75,""cy"":418}","{""Obstacle"":""3""}"
1042_315.jpg,46631,{},4,1,"{""name"":""point"",""cx"":298,""cy"":372}","{""Obstacle"":""3""}"
1042_315.jpg,46631,{},4,2,"{""name"":""point"",""cx"":319,""cy"":371}","{""Obstacle"":""3""}"
1042_315.jpg,46631,{},4,3,"{""name"":""point"",""cx"":354,""cy"":361}","{""Obstacle"":""3""}"
1205_45.jpg,61959,{},1,0,"{""name"":""point"",""cx"":173,""cy"":352}","{""Present Curb Ramp"":""1""}"
1205_135.jpg,59554,{},4,0,"{""name"":""point"",""cx"":90,""cy"":372}","{""Present Curb Ramp"":""1""}"
1205_135.jpg,59554,{},4,1,"{""name"":""point"",""cx"":184,""cy"":367}","{""Present Curb Ramp"":""1""}"
1205_135.jpg,59554,{},4,2,"{""name"":""point"",""cx"":341,""cy"":365}","{""Present Curb Ramp"":""1""}"
1205_135.jpg,59554,{},4,3,"{""name"":""point"",""cx"":118,""cy"":370}","{""Obstacle"":""4""}"
1205_225.jpg,60406,{},0,0,{},{}
1205_315.jpg,57828,{},0,0,{},{}
1908_45.jpg,45783,{},1,0,"{""name"":""point"",""cx"":162,""cy"":436}","{""Present Curb Ramp"":""2""}"
1908_135.jpg,45079,{},1,0,"{""name"":""point"",""cx"":392,""cy"":433}","{""Present Curb Ramp"":""2""}"
1908_225.jpg,41207,{},2,0,"{""name"":""point"",""cx"":446,""cy"":384}","{""Present Curb Ramp"":""1""}"
