img_id,heading,crop_number,0_missing,1_null,2_obstacle,3_present,4_surface_prob,5_nosidewalk,6_occlusion,count_all,ground_truth
510,45,1,0,1,0,0,0,0,0,0,1_null
510,45,2,0,1,0,0,0,0,0,0,1_null
510,45,3,0,1,0,0,0,0,0,0,1_null
510,45,4,0,1,0,0,0,0,0,0,1_null
510,45,5,0,1,0,0,0,0,0,0,1_null
510,45,6,0,1,0,0,0,0,0,0,1_null
510,45,7,0,0,0,1,0,0,0,1,3_present
510,135,1,0,1,0,0,0,0,0,0,1_null
510,135,2,0,1,0,0,0,0,0,0,1_null
510,135,3,0,0,0,1,0,0,0,1,3_present
510,135,4,0,1,0,0,0,0,0,0,1_null
510,135,5,0,1,0,0,0,0,0,0,1_null
510,135,6,0,0,0,1,0,0,0,1,3_present
510,135,7,0,0,0,1,0,0,0,1,3_present
510,225,1,0,0,0,0,0,1,0,1,1_null
510,225,2,0,0,0,0,0,1,0,1,1_null
510,225,3,0,1,0,0,0,0,0,0,1_null
510,225,4,0,1,0,0,0,0,0,0,1_null
510,225,5,0,0,0,0,0,1,0,1,1_null
510,225,6,0,0,0,0,0,1,0,1,1_null
510,225,7,0,1,0,0,0,0,0,0,1_null
510,315,1,0,1,0,0,0,0,0,0,1_null
510,315,2,0,1,0,0,0,0,0,0,1_null
510,315,3,0,1,0,0,0,0,0,0,1_null
510,315,4,0,1,0,0,0,0,0,0,1_null
510,315,5,0,0,0,0,0,1,0,1,1_null
510,315,6,0,1,0,0,0,0,0,0,1_null
510,315,7,0,1,0,0,0,0,0,0,1_null
680,45,1,0,0,0,2,0,0,0,2,3_present
680,45,2,0,0,0,1,0,0,0,1,3_present
680,45,3,0,1,0,0,0,0,0,0,1_null
680,45,4,0,1,0,0,0,0,0,0,1_null
680,45,5,0,0,0,2,0,0,0,2,3_present
680,45,6,0,1,0,0,0,0,0,0,1_null
680,45,7,0,0,0,1,0,0,0,1,3_present
680,135,1,0,1,0,0,0,0,0,0,1_null
680,135,2,0,0,1,1,0,0,0,2,2_obstacle
680,135,3,0,1,0,0,0,0,0,0,1_null
680,135,4,0,0,2,1,0,0,0,3,2_obstacle
680,135,5,0,0,1,2,0,0,0,3,2_obstacle
680,135,6,0,0,1,1,0,0,0,2,2_obstacle
680,135,7,0,0,2,1,0,0,0,3,2_obstacle
680,225,1,0,0,0,0,1,0,0,1,4_surface_prob
680,225,2,0,0,0,0,1,0,0,1,4_surface_prob
680,225,3,0,0,1,0,0,0,0,1,2_obstacle
680,225,4,0,0,2,1,0,0,0,3,2_obstacle
680,225,5,0,0,0,0,1,0,0,1,4_surface_prob
680,225,6,0,0,1,0,1,0,0,2,2_obstacle
680,225,7,0,0,2,1,0,0,0,3,2_obstacle
680,315,1,0,1,0,0,0,0,0,0,1_null
680,315,2,0,0,0,1,0,0,0,1,3_present
680,315,3,0,0,0,1,0,0,0,1,3_present
680,315,4,0,1,0,0,0,0,0,0,1_null
680,315,5,0,0,0,1,0,0,0,1,3_present
680,315,6,0,0,0,1,0,0,0,1,3_present
680,315,7,0,1,0,0,0,0,0,0,1_null
878,45,1,0,0,0,0,0,1,0,1,1_null
878,45,2,0,0,0,0,0,1,0,1,1_null
878,45,3,0,0,0,0,0,1,0,1,1_null
878,45,4,0,1,0,0,0,0,0,0,1_null
878,45,5,0,0,0,0,0,2,0,2,1_null
878,45,6,0,0,0,0,0,2,0,2,1_null
878,45,7,0,0,0,0,0,2,0,2,1_null
878,135,1,0,0,0,1,0,0,0,1,3_present
878,135,2,0,1,0,0,0,0,0,0,1_null
878,135,3,0,1,0,0,0,0,0,0,1_null
878,135,4,0,1,0,0,0,0,0,0,1_null
878,135,5,0,0,0,1,0,0,0,1,3_present
878,135,6,0,1,0,0,0,0,0,0,1_null
878,135,7,0,1,0,0,0,0,0,0,1_null
878,225,1,0,0,0,0,0,1,0,1,1_null
878,225,2,0,0,0,0,0,2,0,2,1_null
878,225,3,0,0,0,0,0,2,0,2,1_null
878,225,4,0,0,0,0,0,1,0,1,1_null
878,225,5,0,0,0,0,0,2,0,2,1_null
878,225,6,0,0,0,1,0,1,0,2,3_present
878,225,7,0,0,0,1,0,0,0,1,3_present
878,315,1,0,1,0,0,0,0,0,0,1_null
878,315,2,0,1,0,0,0,0,0,0,1_null
878,315,3,0,1,0,0,0,0,0,0,1_null
878,315,4,0,0,0,0,0,1,0,1,1_null
878,315,5,0,0,0,0,0,1,0,1,1_null
878,315,6,0,0,0,0,0,1,0,1,1_null
878,315,7,0,0,0,0,0,2,0,2,1_null
945,45,1,0,1,0,0,0,0,0,0,1_null
945,45,2,0,1,0,0,0,0,0,0,1_null
945,45,3,0,1,0,0,0,0,0,0,1_null
945,45,4,0,1,0,0,0,0,0,0,1_null
945,45,5,0,1,0,0,0,0,0,0,1_null
945,45,6,0,1,0,0,0,0,0,0,1_null
945,45,7,0,1,0,0,0,0,0,0,1_null
945,135,1,0,1,0,0,0,0,0,0,1_null
945,135,2,0,1,0,0,0,0,0,0,1_null
945,135,3,0,0,0,0,0,2,0,2,1_null
945,135,4,0,0,0,0,0,1,0,1,1_null
945,135,5,0,1,0,0,0,0,0,0,1_null
945,135,6,0,1,0,0,0,0,0,0,1_null
945,135,7,0,0,0,0,0,2,0,2,1_null
945,225,1,0,1,0,0,0,0,0,0,1_null
945,225,2,0,1,0,0,0,0,0,0,1_null
945,225,3,0,1,0,0,0,0,0,0,1_null
945,225,4,0,1,0,0,0,0,0,0,1_null
945,225,5,0,0,0,0,0,1,0,1,1_null
945,225,6,0,1,0,0,0,0,0,0,1_null
945,225,7,0,0,0,0,0,1,0,1,1_null
945,315,1,0,0,0,0,0,1,0,1,1_null
945,315,2,0,0,0,0,0,2,0,2,1_null
945,315,3,0,0,0,0,0,1,0,1,1_null
945,315,4,0,1,0,0,0,0,0,0,1_null
945,315,5,0,0,0,0,0,2,0,2,1_null
945,315,6,0,1,0,0,0,0,0,0,1_null
945,315,7,0,1,0,0,0,0,0,0,1_null
1023,45,1,0,0,1,0,0,0,0,1,2_obstacle
1023,45,2,0,0,1,0,0,0,0,1,2_obstacle
1023,45,3,0,1,0,0,0,0,0,0,1_null
1023,45,4,0,0,0,0,1,0,0,1,4_surface_prob
1023,45,5,0,0,1,0,0,0,0,1,2_obstacle
1023,45,6,0,0,1,0,0,0,0,1,2_obstacle
1023,45,7,0,0,0,0,1,0,0,1,4_surface_prob
1023,135,1,0,0,0,0,1,0,0,1,4_surface_prob
1023,135,2,0,1,0,0,0,0,0,0,1_null
1023,135,3,0,1,0,0,0,0,0,0,1_null
1023,135,4,0,1,0,0,0,0,0,0,1_null
1023,135,5,0,0,0,0,1,0,0,1,4_surface_prob
1023,135,6,0,1,0,0,0,0,0,0,1_null
1023,135,7,0,1,0,0,0,0,0,0,1_null
1023,225,1,0,0,0,0,1,0,0,1,4_surface_prob
1023,225,2,0,1,0,0,0,0,0,0,1_null
1023,225,3,0,1,0,0,0,0,0,0,1_null
1023,225,4,0,1,0,0,0,0,0,0,1_null
1023,225,5,0,0,0,0,1,0,0,1,4_surface_prob
1023,225,6,0,1,0,0,0,0,0,0,1_null
1023,225,7,0,1,0,0,0,0,0,0,1_null
1023,315,1,0,1,0,0,0,0,0,0,1_null
1023,315,2,0,1,0,0,0,0,0,0,1_null
1023,315,3,0,0,0,0,1,0,0,1,4_surface_prob
1023,315,4,0,0,0,0,1,0,0,1,4_surface_prob
1023,315,5,0,1,0,0,0,0,0,0,1_null
1023,315,6,0,0,0,0,1,0,0,1,4_surface_prob
1023,315,7,0,0,0,0,1,0,0,1,4_surface_prob
1042,45,1,0,0,2,0,0,0,0,2,2_obstacle
1042,45,2,0,1,0,0,0,0,0,0,1_null
1042,45,3,0,1,0,0,0,0,0,0,1_null
1042,45,4,0,1,0,0,0,0,0,0,1_null
