jpg_name,original_folder_path,original_group,original_label
18810_135_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
6343_315_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18998_135_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
10039_45_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
4282_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
7362_45_4.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
16127_135_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
17141_135_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
19023_315_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
17641_45_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18151_225_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
12051_225_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
5876_135_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
19039_225_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
19051_315_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
5241_135_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
13373_45_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
7929_135_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
4913_45_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
16833_45_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18965_135_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
8462_225_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
19133_45_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
1914_315_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
12874_315_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18398_225_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
11985_315_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18969_135_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
11677_225_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
8080_135_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
13513_135_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
12051_315_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
17403_135_3.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
12781_135_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
5479_225_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
12584_315_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
17180_315_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
16679_315_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
11559_315_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18410_315_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
17411_225_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
5116_135_4.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
19133_315_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
16968_225_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
7003_315_2.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18813_225_7.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
17974_45_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
11775_315_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
18401_315_5.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
12051_315_6.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present
