,img_id,heading,crop_number,0_missing,1_null,2_obstacle,3_present,4_surface_prob,5_nosidewalk,6_occlusion,count_all,ground_truth,img_heading_folder,original_image_path,new_image_path,image_name
0,510,45,4,0,1,0,0,0,0,0,0,1_null,510_45,crops/510_45/4.jpg,labeled-train/1_null/510_45_4.jpg,510_45_4.jpg
1,510,45,7,0,0,0,1,0,0,0,1,3_present,510_45,crops/510_45/7.jpg,labeled-train/3_present/510_45_7.jpg,510_45_7.jpg
2,510,135,3,0,0,0,1,0,0,0,1,3_present,510_135,crops/510_135/3.jpg,labeled-train/3_present/510_135_3.jpg,510_135_3.jpg
3,510,135,6,0,0,0,1,0,0,0,1,3_present,510_135,crops/510_135/6.jpg,labeled-train/3_present/510_135_6.jpg,510_135_6.jpg
4,510,135,7,0,0,0,1,0,0,0,1,3_present,510_135,crops/510_135/7.jpg,labeled-train/3_present/510_135_7.jpg,510_135_7.jpg
5,510,225,2,0,0,0,0,0,1,0,1,1_null,510_225,crops/510_225/2.jpg,labeled-train/1_null/510_225_2.jpg,510_225_2.jpg
6,510,225,4,0,1,0,0,0,0,0,0,1_null,510_225,crops/510_225/4.jpg,labeled-train/1_null/510_225_4.jpg,510_225_4.jpg
7,510,225,5,0,0,0,0,0,1,0,1,1_null,510_225,crops/510_225/5.jpg,labeled-train/1_null/510_225_5.jpg,510_225_5.jpg
8,510,225,7,0,1,0,0,0,0,0,0,1_null,510_225,crops/510_225/7.jpg,labeled-train/1_null/510_225_7.jpg,510_225_7.jpg
9,510,315,4,0,1,0,0,0,0,0,0,1_null,510_315,crops/510_315/4.jpg,labeled-train/1_null/510_315_4.jpg,510_315_4.jpg
10,680,45,1,0,0,0,2,0,0,0,2,3_present,680_45,crops/680_45/1.jpg,labeled-train/3_present/680_45_1.jpg,680_45_1.jpg
11,680,45,2,0,0,0,1,0,0,0,1,3_present,680_45,crops/680_45/2.jpg,labeled-train/3_present/680_45_2.jpg,680_45_2.jpg
12,680,45,5,0,0,0,2,0,0,0,2,3_present,680_45,crops/680_45/5.jpg,labeled-train/3_present/680_45_5.jpg,680_45_5.jpg
13,680,45,7,0,0,0,1,0,0,0,1,3_present,680_45,crops/680_45/7.jpg,labeled-train/3_present/680_45_7.jpg,680_45_7.jpg
14,680,135,1,0,1,0,0,0,0,0,0,1_null,680_135,crops/680_135/1.jpg,labeled-train/1_null/680_135_1.jpg,680_135_1.jpg
15,680,135,2,0,0,1,1,0,0,0,2,2_obstacle,680_135,crops/680_135/2.jpg,labeled-train/2_obstacle/680_135_2.jpg,680_135_2.jpg
16,680,135,3,0,1,0,0,0,0,0,0,1_null,680_135,crops/680_135/3.jpg,labeled-train/1_null/680_135_3.jpg,680_135_3.jpg
17,680,135,4,0,0,2,1,0,0,0,3,2_obstacle,680_135,crops/680_135/4.jpg,labeled-train/2_obstacle/680_135_4.jpg,680_135_4.jpg
18,680,135,5,0,0,1,2,0,0,0,3,2_obstacle,680_135,crops/680_135/5.jpg,labeled-train/2_obstacle/680_135_5.jpg,680_135_5.jpg
19,680,135,6,0,0,1,1,0,0,0,2,2_obstacle,680_135,crops/680_135/6.jpg,labeled-train/2_obstacle/680_135_6.jpg,680_135_6.jpg
20,680,135,7,0,0,2,1,0,0,0,3,2_obstacle,680_135,crops/680_135/7.jpg,labeled-train/2_obstacle/680_135_7.jpg,680_135_7.jpg
21,680,225,1,0,0,0,0,1,0,0,1,4_surface_prob,680_225,crops/680_225/1.jpg,labeled-train/4_surface_prob/680_225_1.jpg,680_225_1.jpg
22,680,225,2,0,0,0,0,1,0,0,1,4_surface_prob,680_225,crops/680_225/2.jpg,labeled-train/4_surface_prob/680_225_2.jpg,680_225_2.jpg
23,680,225,3,0,0,1,0,0,0,0,1,2_obstacle,680_225,crops/680_225/3.jpg,labeled-train/2_obstacle/680_225_3.jpg,680_225_3.jpg
24,680,225,4,0,0,2,1,0,0,0,3,2_obstacle,680_225,crops/680_225/4.jpg,labeled-train/2_obstacle/680_225_4.jpg,680_225_4.jpg
25,680,225,5,0,0,0,0,1,0,0,1,4_surface_prob,680_225,crops/680_225/5.jpg,labeled-train/4_surface_prob/680_225_5.jpg,680_225_5.jpg
26,680,225,6,0,0,1,0,1,0,0,2,2_obstacle,680_225,crops/680_225/6.jpg,labeled-train/2_obstacle/680_225_6.jpg,680_225_6.jpg
27,680,225,7,0,0,2,1,0,0,0,3,2_obstacle,680_225,crops/680_225/7.jpg,labeled-train/2_obstacle/680_225_7.jpg,680_225_7.jpg
28,680,315,2,0,0,0,1,0,0,0,1,3_present,680_315,crops/680_315/2.jpg,labeled-train/3_present/680_315_2.jpg,680_315_2.jpg
29,680,315,3,0,0,0,1,0,0,0,1,3_present,680_315,crops/680_315/3.jpg,labeled-train/3_present/680_315_3.jpg,680_315_3.jpg
30,680,315,4,0,1,0,0,0,0,0,0,1_null,680_315,crops/680_315/4.jpg,labeled-train/1_null/680_315_4.jpg,680_315_4.jpg
31,680,315,5,0,0,0,1,0,0,0,1,3_present,680_315,crops/680_315/5.jpg,labeled-train/3_present/680_315_5.jpg,680_315_5.jpg
32,680,315,6,0,0,0,1,0,0,0,1,3_present,680_315,crops/680_315/6.jpg,labeled-train/3_present/680_315_6.jpg,680_315_6.jpg
33,878,45,1,0,0,0,0,0,1,0,1,1_null,878_45,crops/878_45/1.jpg,labeled-train/1_null/878_45_1.jpg,878_45_1.jpg
34,878,45,6,0,0,0,0,0,2,0,2,1_null,878_45,crops/878_45/6.jpg,labeled-train/1_null/878_45_6.jpg,878_45_6.jpg
35,878,135,1,0,0,0,1,0,0,0,1,3_present,878_135,crops/878_135/1.jpg,labeled-train/3_present/878_135_1.jpg,878_135_1.jpg
36,878,135,5,0,0,0,1,0,0,0,1,3_present,878_135,crops/878_135/5.jpg,labeled-train/3_present/878_135_5.jpg,878_135_5.jpg
37,878,135,6,0,1,0,0,0,0,0,0,1_null,878_135,crops/878_135/6.jpg,labeled-train/1_null/878_135_6.jpg,878_135_6.jpg
38,878,135,7,0,1,0,0,0,0,0,0,1_null,878_135,crops/878_135/7.jpg,labeled-train/1_null/878_135_7.jpg,878_135_7.jpg
39,878,225,1,0,0,0,0,0,1,0,1,1_null,878_225,crops/878_225/1.jpg,labeled-train/1_null/878_225_1.jpg,878_225_1.jpg
40,878,225,3,0,0,0,0,0,2,0,2,1_null,878_225,crops/878_225/3.jpg,labeled-train/1_null/878_225_3.jpg,878_225_3.jpg
41,878,225,6,0,0,0,1,0,1,0,2,3_present,878_225,crops/878_225/6.jpg,labeled-train/3_present/878_225_6.jpg,878_225_6.jpg
42,878,225,7,0,0,0,1,0,0,0,1,3_present,878_225,crops/878_225/7.jpg,labeled-train/3_present/878_225_7.jpg,878_225_7.jpg
43,878,315,3,0,1,0,0,0,0,0,0,1_null,878_315,crops/878_315/3.jpg,labeled-train/1_null/878_315_3.jpg,878_315_3.jpg
44,878,315,6,0,0,0,0,0,1,0,1,1_null,878_315,crops/878_315/6.jpg,labeled-train/1_null/878_315_6.jpg,878_315_6.jpg
45,945,45,1,0,1,0,0,0,0,0,0,1_null,945_45,crops/945_45/1.jpg,labeled-train/1_null/945_45_1.jpg,945_45_1.jpg
46,945,45,5,0,1,0,0,0,0,0,0,1_null,945_45,crops/945_45/5.jpg,labeled-train/1_null/945_45_5.jpg,945_45_5.jpg
47,945,135,6,0,1,0,0,0,0,0,0,1_null,945_135,crops/945_135/6.jpg,labeled-train/1_null/945_135_6.jpg,945_135_6.jpg
