filename,crop_number,region_id,label_name,region_count,img_id,sv_image_x,sv_image_y,sv_image_y_bottom_origin,xpt_minus_xleft,xright_minus_xpt,ypt_minus_ytop,ybottom_minus_ypt,heading,crop_name_id,label_id
680_45.jpg,1,0,Present Curb Ramp,3,680,108,389,251,108,112,189,31,45,680_45_1,680_45_0
680_45.jpg,1,1,Present Curb Ramp,3,680,160,389,251,160,60,189,31,45,680_45_1,680_45_1
680_225.jpg,1,0,Surface Problem,4,680,179,411,229,179,41,211,9,225,680_225_1,680_225_0
1042_45.jpg,1,1,Obstacle,3,1042,90,380,260,90,130,180,40,45,1042_45_1,1042_45_1
1042_45.jpg,1,2,Obstacle,3,1042,69,363,277,69,151,163,57,45,1042_45_1,1042_45_2
1042_315.jpg,1,0,Obstacle,4,1042,75,418,222,75,145,218,2,315,1042_315_1,1042_315_0
1205_45.jpg,1,0,Present Curb Ramp,1,1205,173,352,288,173,47,152,68,45,1205_45_1,1205_45_0
1205_135.jpg,1,0,Present Curb Ramp,4,1205,90,372,268,90,130,172,48,135,1205_135_1,1205_135_0
1205_135.jpg,1,1,Present Curb Ramp,4,1205,184,367,273,184,36,167,53,135,1205_135_1,1205_135_1
1205_135.jpg,1,3,Obstacle,4,1205,118,370,270,118,102,170,50,135,1205_135_1,1205_135_3
1908_315.jpg,1,1,Present Curb Ramp,3,1908,193,353,287,193,27,153,67,315,1908_315_1,1908_315_1
1908_315.jpg,1,2,Obstacle,3,1908,215,346,294,215,5,146,74,315,1908_315_1,1908_315_2
3613_315.jpg,1,0,Obstacle,1,3613,191,381,259,191,29,181,39,315,3613_315_1,3613_315_0
4684_315.jpg,1,0,Surface Problem,2,4684,201,378,262,201,19,178,42,315,4684_315_1,4684_315_0
5479_45.jpg,1,1,Surface Problem,4,5479,215,377,263,215,5,177,43,45,5479_45_1,5479_45_1
5479_45.jpg,1,2,Surface Problem,4,5479,134,389,251,134,86,189,31,45,5479_45_1,5479_45_2
5479_45.jpg,1,3,Surface Problem,4,5479,69,403,237,69,151,203,17,45,5479_45_1,5479_45_3
6500_45.jpg,1,0,Present Curb Ramp,2,6500,195,410,230,195,25,210,10,45,6500_45_1,6500_45_0
6500_225.jpg,1,1,Present Curb Ramp,4,6500,192,365,275,192,28,165,55,225,6500_225_1,6500_225_1
6500_225.jpg,1,2,Present Curb Ramp,4,6500,131,365,275,131,89,165,55,225,6500_225_1,6500_225_2
6500_315.jpg,1,1,Present Curb Ramp,2,6500,173,351,289,173,47,151,69,315,6500_315_1,6500_315_1
7633_135.jpg,1,2,Surface Problem,3,7633,91,388,252,91,129,188,32,135,7633_135_1,7633_135_2
8721_135.jpg,1,0,Present Curb Ramp,1,8721,177,389,251,177,43,189,31,135,8721_135_1,8721_135_0
8829_45.jpg,1,0,Present Curb Ramp,2,8829,166,413,227,166,54,213,7,45,8829_45_1,8829_45_0
8829_45.jpg,1,1,Present Curb Ramp,2,8829,119,388,252,119,101,188,32,45,8829_45_1,8829_45_1
8829_135.jpg,1,1,Surface Problem,6,8829,211,389,251,211,9,189,31,135,8829_135_1,8829_135_1
