img_id,heading,crop_number,0_missing,1_null,2_present,count_all,ground_truth,new_group,jpg_name,original_folder_path,original_group,original_label,new_folder_path
1023.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,1023_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/2_obstacle,train,2_obstacle,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
1636.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,1636_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
1663.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,1663_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
1747.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,1747_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
1894.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,1894_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
2350.0,45.0,1.0,0.0,0.0,1.0,1.0,2_present,train,2350_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/2_present
2460.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,2460_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
2511.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,2511_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
2666.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,2666_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
2891.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,2891_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
3287.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,3287_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
4282.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,4282_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
4404.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,4404_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/1_null,train,1_null,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
4504.0,45.0,1.0,0.0,1.0,0.0,1.0,1_null,train,4504_45_1.jpg,/home/ec2-user/SageMaker/classify-streetview/images/train/3_present,train,3_present,/home/ec2-user/SageMaker/classify-streetview/roi-images/train/1_null
