img_id,heading,crop_number,3_present,4_surface_prob,2_obstacle,0_missing,6_occlusion,5_nosidewalk,count_all
141,135,2,0,1,0,0,0,0,1
141,135,3,1,1,0,0,0,0,2
141,135,5,0,1,0,0,0,0,1
141,135,6,1,1,0,0,0,0,2
141,135,7,1,0,0,0,0,0,1
141,315,5,0,2,0,0,0,0,2
141,315,6,0,1,0,0,0,0,1
317,135,1,0,1,0,0,0,0,1
317,135,2,0,1,0,0,0,0,1
317,135,5,0,1,0,0,0,0,1
317,135,6,0,1,0,0,0,0,1
317,225,7,0,1,0,0,0,0,1
317,315,5,0,1,0,0,0,0,1
352,135,3,0,0,0,0,0,2,2
352,135,4,0,0,0,0,0,4,4
352,135,7,0,0,0,0,0,2,2
352,225,1,0,0,0,0,0,1,1
352,225,2,0,0,0,0,0,1,1
352,225,5,0,0,0,0,0,2,2
352,225,6,0,0,0,0,0,1,1
352,225,7,0,0,0,0,0,1,1
352,315,2,0,0,0,0,0,1,1
352,315,3,0,0,0,0,0,1,1
352,315,4,0,0,0,0,0,1,1
352,315,5,0,0,0,0,0,2,2
352,315,6,0,0,0,0,0,2,2
352,315,7,0,0,0,0,0,1,1
510,135,3,1,0,0,0,0,0,1
510,135,6,1,0,0,0,0,0,1
510,135,7,1,0,0,0,0,0,1
510,225,1,0,0,0,0,0,1,1
510,225,2,0,0,0,0,0,1,1
510,225,5,0,0,0,0,0,1,1
510,225,6,0,0,0,0,0,1,1
510,315,5,0,0,0,0,0,1,1
510,45,7,1,0,0,0,0,0,1
583,135,1,0,0,0,0,0,1,1
583,135,2,0,0,0,0,0,2,2
583,135,5,0,0,0,0,0,2,2
583,315,3,0,0,0,0,0,2,2
583,315,4,0,0,0,0,0,2,2
583,315,7,0,0,0,0,0,2,2
583,45,1,0,0,0,0,0,1,1
583,45,5,0,0,0,0,0,1,1
583,45,6,0,0,0,0,0,1,1
583,45,7,0,0,0,0,0,1,1
680,135,2,1,0,1,0,0,0,2
680,135,4,1,0,2,0,0,0,3
680,135,5,2,0,1,0,0,0,3
680,135,6,1,0,1,0,0,0,2
680,135,7,1,0,2,0,0,0,3
680,225,1,0,1,0,0,0,0,1
680,225,2,0,1,0,0,0,0,1
680,225,3,0,0,1,0,0,0,1
680,225,4,1,0,2,0,0,0,3
680,225,5,0,1,0,0,0,0,1
680,225,6,0,1,1,0,0,0,2
680,225,7,1,0,2,0,0,0,3
680,315,2,1,0,0,0,0,0,1
680,315,3,1,0,0,0,0,0,1
680,315,5,1,0,0,0,0,0,1
680,315,6,1,0,0,0,0,0,1
680,45,1,2,0,0,0,0,0,2
680,45,2,1,0,0,0,0,0,1
680,45,5,2,0,0,0,0,0,2
680,45,7,1,0,0,0,0,0,1
693,135,2,0,0,1,0,0,0,1
693,135,3,0,0,3,0,0,0,3
693,135,4,0,0,1,0,0,0,1
693,135,6,0,0,3,0,0,0,3
693,135,7,0,0,2,0,0,0,2
693,225,2,0,0,0,0,0,1,1
693,225,3,0,0,0,0,0,1,1
693,225,6,0,0,0,0,0,1,1
693,315,2,0,0,0,0,0,1,1
693,315,3,0,0,0,0,0,1,1
693,315,6,0,0,0,0,0,1,1
693,315,7,0,0,0,0,0,1,1
877,225,3,1,0,0,0,0,0,1
877,225,4,0,0,0,1,0,0,1
877,225,6,1,0,0,0,0,0,1
877,225,7,1,0,0,1,0,0,2
878,135,1,1,0,0,0,0,0,1
878,135,5,1,0,0,0,0,0,1
878,225,1,0,0,0,0,0,1,1
878,225,2,0,0,0,0,0,2,2
878,225,3,0,0,0,0,0,2,2
878,225,4,0,0,0,0,0,1,1
878,225,5,0,0,0,0,0,2,2
878,225,6,1,0,0,0,0,1,2
878,225,7,1,0,0,0,0,0,1
878,315,4,0,0,0,0,0,1,1
878,315,5,0,0,0,0,0,1,1
878,315,6,0,0,0,0,0,1,1
878,315,7,0,0,0,0,0,2,2
878,45,1,0,0,0,0,0,1,1
878,45,2,0,0,0,0,0,1,1
878,45,3,0,0,0,0,0,1,1
878,45,5,0,0,0,0,0,2,2
878,45,6,0,0,0,0,0,2,2
878,45,7,0,0,0,0,0,2,2
944,135,2,0,0,0,0,0,1,1
944,135,3,0,0,0,0,0,1,1
944,135,4,0,0,0,0,0,2,2
944,135,5,0,0,0,0,0,2,2
944,135,6,0,0,0,0,0,2,2
944,135,7,0,0,0,0,0,2,2
944,225,1,0,0,0,0,0,1,1
944,225,5,0,0,0,0,0,2,2
944,225,6,0,0,0,0,0,1,1
944,225,7,0,0,0,0,0,1,1
944,315,3,0,0,0,0,0,2,2
944,315,4,0,0,0,0,0,3,3
944,315,5,0,0,0,0,0,2,2
944,315,6,0,0,0,0,0,2,2
944,315,7,0,0,0,0,0,2,2
944,45,1,0,0,0,0,0,1,1
944,45,5,0,0,0,0,0,2,2
944,45,6,0,0,0,0,0,1,1
944,45,7,0,0,0,0,0,1,1
945,135,3,0,0,0,0,0,2,2
945,135,4,0,0,0,0,0,1,1
945,135,7,0,0,0,0,0,2,2
945,225,5,0,0,0,0,0,1,1
945,225,7,0,0,0,0,0,1,1
945,315,1,0,0,0,0,0,1,1
945,315,2,0,0,0,0,0,2,2
945,315,3,0,0,0,0,0,1,1
945,315,5,0,0,0,0,0,2,2
1023,135,1,0,1,0,0,0,0,1
1023,135,5,0,1,0,0,0,0,1
1023,225,1,0,1,0,0,0,0,1
1023,225,5,0,1,0,0,0,0,1
1023,315,3,0,1,0,0,0,0,1
1023,315,4,0,1,0,0,0,0,1
1023,315,6,0,1,0,0,0,0,1
1023,315,7,0,1,0,0,0,0,1
1023,45,1,0,0,1,0,0,0,1
1023,45,2,0,0,1,0,0,0,1
1023,45,4,0,1,0,0,0,0,1
1023,45,5,0,0,1,0,0,0,1
1023,45,6,0,0,1,0,0,0,1
1023,45,7,0,1,0,0,0,0,1
1042,135,4,0,0,1,0,0,0,1
1042,135,7,0,0,1,0,0,0,1
1042,315,1,0,0,1,0,0,0,1
1042,315,2,0,0,3,0,0,0,3
1042,315,3,0,0,3,0,0,0,3
1042,315,5,0,0,2,0,0,0,2
1042,315,6,0,0,3,0,0,0,3
1042,315,7,0,0,1,0,0,0,1
1042,45,1,0,0,2,0,0,0,2
1042,45,5,0,0,3,0,0,0,3
1042,45,6,0,0,1,0,0,0,1
1195,135,3,0,1,0,0,0,0,1
1195,135,5,0,1,0,0,0,0,1
1195,135,6,0,2,0,0,0,0,2
1195,135,7,0,1,0,0,0,0,1
1195,45,2,1,0,0,0,0,0,1
1195,45,5,1,0,0,1,0,0,2
1195,45,6,1,0,0,1,0,0,2
1205,135,1,2,0,1,0,0,0,3
1205,135,2,2,0,0,0,0,0,2
1205,135,3,1,0,0,0,0,0,1
1205,135,5,2,0,1,0,0,0,3
1205,135,6,2,0,0,0,0,0,2
1205,135,7,1,0,0,0,0,0,1
1205,45,1,1,0,0,0,0,0,1
1205,45,2,1,0,0,0,0,0,1
1205,45,5,1,0,0,0,0,0,1
1205,45,6,1,0,0,0,0,0,1
1297,135,1,0,1,0,0,0,0,1
1297,135,2,0,2,0,0,0,0,2
1297,135,3,0,1,0,0,0,0,1
1297,135,5,0,2,0,1,0,0,3
1297,135,6,0,2,0,0,0,0,2
1297,135,7,0,1,0,0,0,0,1
1297,225,6,1,2,0,0,0,0,3
1297,225,7,1,2,0,0,0,0,3
1297,315,3,0,0,0,0,0,1,1
1297,315,4,0,0,0,0,0,1,1
1297,315,6,0,0,0,0,0,1,1
1297,315,7,0,0,0,0,0,2,2
1297,45,1,0,0,0,0,0,2,2
1297,45,2,0,0,0,0,0,1,1
1297,45,5,0,0,0,0,0,3,3
1297,45,6,0,0,0,0,0,1,1
1525,315,3,1,0,0,0,0,0,1
1525,315,6,1,0,0,0,0,0,1
1525,315,7,1,0,0,0,0,0,1
1525,45,5,1,0,0,0,0,0,1
1525,45,6,1,0,0,0,0,0,1
1532,135,5,0,0,0,0,0,1,1
1532,135,6,0,0,0,0,0,1,1
1532,225,6,1,0,0,0,0,0,1
1532,225,7,1,0,0,0,0,0,1
1532,315,3,1,0,0,0,0,0,1
1532,315,4,1,0,0,0,0,0,1
1532,315,6,1,0,0,0,0,0,1
1532,315,7,1,0,0,0,0,0,1
1636,135,2,1,0,0,0,0,0,1
1636,135,3,1,0,0,0,0,0,1
1636,135,6,1,0,0,0,0,0,1
1636,225,2,0,0,0,1,0,0,1
1636,225,3,0,0,0,1,0,0,1
1636,225,5,1,0,0,0,0,0,1
1636,225,6,1,0,0,1,0,0,2
1636,225,7,0,0,0,1,0,0,1
1636,315,6,1,0,0,0,0,0,1
1636,315,7,1,0,0,0,0,0,1
1636,45,6,1,0,0,0,0,0,1
1636,45,7,1,0,0,0,0,0,1
1663,135,2,0,0,0,1,0,0,1
1663,135,3,0,0,0,1,0,0,1
1663,135,5,0,0,0,1,0,0,1
1663,135,6,1,0,0,1,0,0,2
1663,135,7,1,0,0,0,0,0,1
1663,225,2,1,0,0,0,0,0,1
1663,225,3,1,0,0,0,0,0,1
1663,225,6,1,0,0,0,0,0,1
1663,225,7,1,0,0,0,0,0,1
1663,315,5,1,0,0,1,0,0,2
1663,315,6,1,0,0,1,0,0,2
1663,45,6,1,0,0,0,0,0,1
1721,135,6,1,0,0,0,0,0,1
1721,225,3,0,0,0,1,0,0,1
1721,225,5,1,0,0,0,0,0,1
1721,225,6,1,0,0,1,0,0,2
1721,225,7,0,0,0,1,0,0,1
1721,315,5,0,0,0,1,0,0,1
1721,315,6,1,0,0,1,0,0,2
1721,315,7,1,0,0,0,0,0,1
1721,45,6,1,0,0,0,0,0,1
1747,135,6,1,0,0,0,0,0,1
1747,135,7,1,0,0,0,0,0,1
1747,225,3,1,0,0,0,0,0,1
1747,225,6,1,0,0,0,0,0,1
1747,225,7,1,0,0,0,0,0,1
1747,315,2,1,0,0,0,0,0,1
1747,315,3,1,0,0,0,0,0,1
1747,315,5,1,0,0,0,0,0,1
1747,315,6,1,0,0,0,0,0,1
1747,45,5,1,0,0,0,0,0,1
1894,315,4,0,1,0,0,0,0,1
1894,315,7,0,1,0,0,0,0,1
1895,45,3,0,0,0,0,0,1,1
