img_id,heading,crop_num,jpg_name,present_ramp,missing_ramp,total_count,includes_both,ground_truth,train/val/test,folder_label,original_image_path,new_image_path
10076,315,A,10076_315_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/10076_315_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/10076_315_A.jpg
10076,315,D,10076_315_D.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/10076_315_D.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/10076_315_D.jpg
10076,315,E,10076_315_E.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/10076_315_E.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/10076_315_E.jpg
12578,135,C,12578_135_C.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/12578_135_C.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/12578_135_C.jpg
12578,315,C,12578_315_C.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/12578_315_C.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/12578_315_C.jpg
12578,315,D,12578_315_D.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/12578_315_D.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/12578_315_D.jpg
16258,135,B,16258_135_B.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/16258_135_B.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/16258_135_B.jpg
16258,135,C,16258_135_C.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/16258_135_C.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/16258_135_C.jpg
17892,135,D,17892_135_D.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/17892_135_D.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/17892_135_D.jpg
17892,135,E,17892_135_E.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/17892_135_E.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/17892_135_E.jpg
18158,225,A,18158_225_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18158_225_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18158_225_A.jpg
18158,315,A,18158_315_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18158_315_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18158_315_A.jpg
18158,225,B,18158_225_B.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18158_225_B.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18158_225_B.jpg
18158,315,B,18158_315_B.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18158_315_B.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18158_315_B.jpg
18158,225,C,18158_225_C.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18158_225_C.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18158_225_C.jpg
18278,225,A,18278_225_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18278_225_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18278_225_A.jpg
18278,135,F,18278_135_F.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18278_135_F.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18278_135_F.jpg
18401,135,A,18401_135_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18401_135_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18401_135_A.jpg
18802,225,A,18802_225_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18802_225_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18802_225_A.jpg
18802,315,B,18802_315_B.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18802_315_B.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18802_315_B.jpg
18802,315,C,18802_315_C.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18802_315_C.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18802_315_C.jpg
18955,135,C,18955_135_C.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18955_135_C.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18955_135_C.jpg
18969,135,A,18969_135_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18969_135_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18969_135_A.jpg
18969,315,A,18969_315_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18969_315_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18969_315_A.jpg
18969,315,B,18969_315_B.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18969_315_B.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18969_315_B.jpg
18969,45,F,18969_45_F.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18969_45_F.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18969_45_F.jpg
18998,315,A,18998_315_A.jpg,0,1,1,False,only_missing,train,0_missing,mini-crops/18998_315_A.jpg,mini-crops-labeled/project-sidewalk/train/0_missing/18998_315_A.jpg
