jpg_name,prediction,pred_0_missing,pred_1_null,pred_2_obstacle,pred_3_missing,pred_4_surface_prob,img_id,heading,crop_number,0_missing,1_null,2_present,count_all,ground_truth,new_folder_path
10228_45_5.jpg,1_null,-0.9896194934844971,4.012372016906738,-1.817022681236267,1.162658452987671,-2.3365345001220703,10228.0,45.0,5.0,1.0,0.0,1.0,2.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
12270_225_6.jpg,1_null,-0.9907383918762207,4.286681652069092,-1.5004953145980835,0.9856338500976562,-2.8211727142333984,12270.0,225.0,6.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
14541_225_6.jpg,1_null,-0.9843887090682983,4.283090114593506,-1.697956919670105,1.0892434120178223,-2.707474708557129,14541.0,225.0,6.0,1.0,0.0,1.0,2.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
16078_315_7.jpg,1_null,-0.8225314617156982,4.51109504699707,-1.8473844528198242,1.2467906475067139,-3.016172170639038,16078.0,315.0,7.0,1.0,0.0,1.0,2.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
16180_135_2.jpg,1_null,-1.1820989847183228,3.3125908374786377,-0.6769293546676636,1.0276188850402832,-2.3465514183044434,16180.0,135.0,2.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
16829_225_7.jpg,1_null,-1.0396709442138672,2.9543120861053467,-1.0287750959396362,0.8498650789260864,-1.683852195739746,16829.0,225.0,7.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
17033_135_2.jpg,1_null,-0.5945538282394409,3.545818567276001,-2.3936429023742676,1.7709894180297852,-2.1101186275482178,17033.0,135.0,2.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
17033_315_2.jpg,2_present,-0.925086259841919,2.4395058155059814,-0.931761622428894,2.6592140197753906,-3.0845024585723877,17033.0,315.0,2.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
17202_135_3.jpg,1_null,-0.31901809573173523,2.675767660140991,-1.5051082372665405,1.6748886108398438,-2.35506534576416,17202.0,135.0,3.0,1.0,0.0,1.0,2.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
18242_135_4.jpg,1_null,-0.7017172574996948,3.3912007808685303,-1.9119009971618652,1.6661572456359863,-2.3716390132904053,18242.0,135.0,4.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
18256_315_5.jpg,1_null,-0.9117037057876587,3.5495457649230957,-1.6949819326400757,1.5717318058013916,-2.478109836578369,18256.0,315.0,5.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
18271_225_5.jpg,1_null,-1.1987196207046509,5.137894630432129,-1.8572654724121094,0.5224660038948059,-2.632720708847046,18271.0,225.0,5.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
18284_225_5.jpg,1_null,-1.0281000137329102,4.17717981338501,-1.992814302444458,1.4474759101867676,-2.6097800731658936,18284.0,225.0,5.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
18284_45_5.jpg,1_null,-0.21003729104995728,3.573091506958008,-1.8936724662780762,1.6058940887451172,-2.9592788219451904,18284.0,45.0,5.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
18387_135_5.jpg,1_null,-1.734476923942566,4.336174488067627,-0.8466877937316895,0.17381948232650757,-1.9977953433990479,18387.0,135.0,5.0,1.0,0.0,0.0,1.0,0_missing,/home/ec2-user/SageMaker/classify-streetview/roi-images/test/0_missing
