filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,img_id,present_ramp,missing_ramp,obstacle,surface_prob,no_sidewalk,null,sv_image_x,sv_image_y,sv_image_y_bottom_origin,label_name,crop_num,corner_x,corner_y,size,x_crop_left,x_crop_right,y_crop_top,y_crop_bottom,margin,x_roi_left,x_roi_right,y_roi_top,y_roi_bottom
680_45.jpg,49558,{},3,0,"{""name"":""point"",""cx"":108,""cy"":389}","{""Present Curb Ramp"":""1\n""}",680,True,False,False,False,False,False,108,389,251,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_45.jpg,49558,{},3,1,"{""name"":""point"",""cx"":160,""cy"":389}","{""Present Curb Ramp"":""1""}",680,True,False,False,False,False,False,160,389,251,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_45.jpg,49558,{},3,2,"{""name"":""point"",""cx"":607,""cy"":453}","{""Present Curb Ramp"":""1""}",680,True,False,False,False,False,False,607,453,187,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_135.jpg,51194,{},6,0,"{""name"":""point"",""cx"":18,""cy"":475}","{""Present Curb Ramp"":""1""}",680,True,False,False,False,False,False,18,475,165,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_135.jpg,51194,{},6,1,"{""name"":""point"",""cx"":245,""cy"":413}","{""Present Curb Ramp"":""1""}",680,True,False,False,False,False,False,245,413,227,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_135.jpg,51194,{},6,2,"{""name"":""point"",""cx"":266,""cy"":392}","{""Obstacle"":""5""}",680,False,False,True,False,False,False,266,392,248,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
680_135.jpg,51194,{},6,3,"{""name"":""point"",""cx"":545,""cy"":373}","{""Obstacle"":""5""}",680,False,False,True,False,False,False,545,373,267,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
680_135.jpg,51194,{},6,4,"{""name"":""point"",""cx"":560,""cy"":389}","{""Present Curb Ramp"":""1\n""}",680,True,False,False,False,False,False,560,389,251,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_135.jpg,51194,{},6,5,"{""name"":""point"",""cx"":591,""cy"":374}","{""Obstacle"":""1\n""}",680,False,False,True,False,False,False,591,374,266,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
680_225.jpg,47450,{},4,0,"{""name"":""point"",""cx"":179,""cy"":411}","{""Surface Problem"":""1""}",680,False,False,False,True,False,False,179,411,229,Surface Problem,A,5,320,180,5,185,320,500,10,15,175,330,490
680_225.jpg,47450,{},4,1,"{""name"":""point"",""cx"":427,""cy"":386}","{""Obstacle"":""3""}",680,False,False,True,False,False,False,427,386,254,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
680_225.jpg,47450,{},4,2,"{""name"":""point"",""cx"":520,""cy"":401}","{""Present Curb Ramp"":""1""}",680,True,False,False,False,False,False,520,401,239,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
680_225.jpg,47450,{},4,3,"{""name"":""point"",""cx"":540,""cy"":379}","{""Obstacle"":""3""}",680,False,False,True,False,False,False,540,379,261,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
680_315.jpg,51663,{},1,0,"{""name"":""point"",""cx"":281,""cy"":359}","{""Present Curb Ramp"":""1""}",680,True,False,False,False,False,False,281,359,281,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
877_225.jpg,39468,{},2,0,"{""name"":""point"",""cx"":416,""cy"":360}","{""Present Curb Ramp"":""1""}",877,True,False,False,False,False,False,416,360,280,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
877_225.jpg,39468,{},2,1,"{""name"":""point"",""cx"":581,""cy"":358}","{""Missing Curb Ramp"":""1""}",877,False,True,False,False,False,False,581,358,282,Missing Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_45.jpg,45436,{},3,0,"{""name"":""point"",""cx"":281,""cy"":447}","{""Obstacle"":""3""}",1042,False,False,True,False,False,False,281,447,193,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_45.jpg,45436,{},3,1,"{""name"":""point"",""cx"":90,""cy"":380}","{""Obstacle"":""1""}",1042,False,False,True,False,False,False,90,380,260,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_45.jpg,45436,{},3,2,"{""name"":""point"",""cx"":69,""cy"":363}","{""Obstacle"":""2""}",1042,False,False,True,False,False,False,69,363,277,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_135.jpg,38978,{},1,0,"{""name"":""point"",""cx"":526,""cy"":347}","{""Obstacle"":""2""}",1042,False,False,True,False,False,False,526,347,293,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_315.jpg,46631,{},4,0,"{""name"":""point"",""cx"":75,""cy"":418}","{""Obstacle"":""3""}",1042,False,False,True,False,False,False,75,418,222,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_315.jpg,46631,{},4,1,"{""name"":""point"",""cx"":298,""cy"":372}","{""Obstacle"":""3""}",1042,False,False,True,False,False,False,298,372,268,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_315.jpg,46631,{},4,2,"{""name"":""point"",""cx"":319,""cy"":371}","{""Obstacle"":""3""}",1042,False,False,True,False,False,False,319,371,269,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1042_315.jpg,46631,{},4,3,"{""name"":""point"",""cx"":354,""cy"":361}","{""Obstacle"":""3""}",1042,False,False,True,False,False,False,354,361,279,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1205_45.jpg,61959,{},1,0,"{""name"":""point"",""cx"":173,""cy"":352}","{""Present Curb Ramp"":""1""}",1205,True,False,False,False,False,False,173,352,288,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1205_135.jpg,59554,{},4,0,"{""name"":""point"",""cx"":90,""cy"":372}","{""Present Curb Ramp"":""1""}",1205,True,False,False,False,False,False,90,372,268,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1205_135.jpg,59554,{},4,1,"{""name"":""point"",""cx"":184,""cy"":367}","{""Present Curb Ramp"":""1""}",1205,True,False,False,False,False,False,184,367,273,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1205_135.jpg,59554,{},4,2,"{""name"":""point"",""cx"":341,""cy"":365}","{""Present Curb Ramp"":""1""}",1205,True,False,False,False,False,False,341,365,275,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1205_135.jpg,59554,{},4,3,"{""name"":""point"",""cx"":118,""cy"":370}","{""Obstacle"":""4""}",1205,False,False,True,False,False,False,118,370,270,Obstacle,A,5,320,180,5,185,320,500,10,15,175,330,490
1908_45.jpg,45783,{},1,0,"{""name"":""point"",""cx"":162,""cy"":436}","{""Present Curb Ramp"":""2""}",1908,True,False,False,False,False,False,162,436,204,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1908_135.jpg,45079,{},1,0,"{""name"":""point"",""cx"":392,""cy"":433}","{""Present Curb Ramp"":""2""}",1908,True,False,False,False,False,False,392,433,207,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
1908_225.jpg,41207,{},2,0,"{""name"":""point"",""cx"":446,""cy"":384}","{""Present Curb Ramp"":""1""}",1908,True,False,False,False,False,False,446,384,256,Present Curb Ramp,A,5,320,180,5,185,320,500,10,15,175,330,490
