img_id,heading,crop_num,jpg_name,present_ramp,missing_ramp,total_count,includes_both,ground_truth,train/val/test
10076,135,A,10076_135_A.jpg,0,0,0,False,1_null,train
10076,225,A,10076_225_A.jpg,1,0,1,False,present,train
10076,315,A,10076_315_A.jpg,0,1,1,False,only_missing,train
10076,45,A,10076_45_A.jpg,0,0,0,False,1_null,train
10076,135,B,10076_135_B.jpg,0,0,0,False,1_null,train
10076,225,B,10076_225_B.jpg,1,0,1,False,present,train
10076,315,B,10076_315_B.jpg,1,1,2,True,present,train
10076,45,B,10076_45_B.jpg,0,0,0,False,1_null,train
10076,135,C,10076_135_C.jpg,0,0,0,False,1_null,train
10076,225,C,10076_225_C.jpg,0,0,0,False,1_null,train
10076,315,C,10076_315_C.jpg,2,0,2,False,multiple_present,train
10076,45,C,10076_45_C.jpg,0,0,0,False,1_null,train
10076,135,D,10076_135_D.jpg,1,0,1,False,present,train
10076,225,D,10076_225_D.jpg,0,0,0,False,1_null,train
10076,315,D,10076_315_D.jpg,0,1,1,False,only_missing,train
10076,45,D,10076_45_D.jpg,0,0,0,False,1_null,train
10076,135,E,10076_135_E.jpg,1,1,2,True,present,train
10076,225,E,10076_225_E.jpg,0,0,0,False,1_null,train
10076,315,E,10076_315_E.jpg,0,1,1,False,only_missing,train
10076,45,E,10076_45_E.jpg,0,0,0,False,1_null,train
10076,135,F,10076_135_F.jpg,0,0,0,False,1_null,train
10076,225,F,10076_225_F.jpg,0,0,0,False,1_null,train
10076,315,F,10076_315_F.jpg,0,0,0,False,1_null,train
10076,45,F,10076_45_F.jpg,0,0,0,False,1_null,train
12578,135,A,12578_135_A.jpg,0,0,0,False,1_null,train
12578,225,A,12578_225_A.jpg,0,0,0,False,1_null,train
12578,315,A,12578_315_A.jpg,0,0,0,False,1_null,train
12578,45,A,12578_45_A.jpg,0,0,0,False,1_null,train
12578,135,B,12578_135_B.jpg,0,0,0,False,1_null,train
12578,225,B,12578_225_B.jpg,0,0,0,False,1_null,train
12578,315,B,12578_315_B.jpg,0,0,0,False,1_null,train
12578,45,B,12578_45_B.jpg,1,0,1,False,present,train
12578,135,C,12578_135_C.jpg,0,1,1,False,only_missing,train
12578,225,C,12578_225_C.jpg,0,0,0,False,1_null,train
12578,315,C,12578_315_C.jpg,0,1,1,False,only_missing,train
12578,45,C,12578_45_C.jpg,1,0,1,False,present,train
12578,135,D,12578_135_D.jpg,0,0,0,False,1_null,train
12578,225,D,12578_225_D.jpg,1,0,1,False,present,train
12578,315,D,12578_315_D.jpg,0,1,1,False,only_missing,train
12578,45,D,12578_45_D.jpg,0,0,0,False,1_null,train
12578,135,E,12578_135_E.jpg,0,0,0,False,1_null,train
12578,225,E,12578_225_E.jpg,1,0,1,False,present,train
12578,315,E,12578_315_E.jpg,0,0,0,False,1_null,train
12578,45,E,12578_45_E.jpg,0,0,0,False,1_null,train
12578,135,F,12578_135_F.jpg,0,0,0,False,1_null,train
12578,225,F,12578_225_F.jpg,0,0,0,False,1_null,train
12578,315,F,12578_315_F.jpg,0,0,0,False,1_null,train
12578,45,F,12578_45_F.jpg,0,0,0,False,1_null,train
12582,135,A,12582_135_A.jpg,0,0,0,False,1_null,train
12582,225,A,12582_225_A.jpg,0,0,0,False,1_null,train
12582,315,A,12582_315_A.jpg,0,0,0,False,1_null,train
12582,45,A,12582_45_A.jpg,0,0,0,False,1_null,train
12582,135,B,12582_135_B.jpg,0,0,0,False,1_null,train
12582,225,B,12582_225_B.jpg,0,0,0,False,1_null,train
12582,315,B,12582_315_B.jpg,0,0,0,False,1_null,train
12582,45,B,12582_45_B.jpg,0,0,0,False,1_null,train
12582,135,C,12582_135_C.jpg,1,0,1,False,present,train
12582,225,C,12582_225_C.jpg,1,0,1,False,present,train
12582,315,C,12582_315_C.jpg,1,0,1,False,present,train
12582,45,C,12582_45_C.jpg,1,0,1,False,present,train
12582,135,D,12582_135_D.jpg,1,0,1,False,present,train
12582,225,D,12582_225_D.jpg,1,0,1,False,present,train
12582,315,D,12582_315_D.jpg,1,0,1,False,present,train
12582,45,D,12582_45_D.jpg,1,0,1,False,present,train
12582,135,E,12582_135_E.jpg,0,0,0,False,1_null,train
12582,225,E,12582_225_E.jpg,0,0,0,False,1_null,train
12582,315,E,12582_315_E.jpg,0,0,0,False,1_null,train
12582,45,E,12582_45_E.jpg,0,0,0,False,1_null,train
12582,135,F,12582_135_F.jpg,0,0,0,False,1_null,train
12582,225,F,12582_225_F.jpg,0,0,0,False,1_null,train
12582,315,F,12582_315_F.jpg,0,0,0,False,1_null,train
12582,45,F,12582_45_F.jpg,0,0,0,False,1_null,train
12584,135,A,12584_135_A.jpg,0,0,0,False,1_null,train
12584,225,A,12584_225_A.jpg,0,0,0,False,1_null,train
12584,315,A,12584_315_A.jpg,0,0,0,False,1_null,train
12584,45,A,12584_45_A.jpg,0,0,0,False,1_null,train
12584,135,B,12584_135_B.jpg,1,0,1,False,present,train
12584,225,B,12584_225_B.jpg,1,0,1,False,present,train
12584,315,B,12584_315_B.jpg,0,0,0,False,1_null,train
12584,45,B,12584_45_B.jpg,0,0,0,False,1_null,train
12584,135,C,12584_135_C.jpg,1,0,1,False,present,train
12584,225,C,12584_225_C.jpg,1,0,1,False,present,train
12584,315,C,12584_315_C.jpg,0,0,0,False,1_null,train
12584,45,C,12584_45_C.jpg,1,0,1,False,present,train
12584,135,D,12584_135_D.jpg,0,0,0,False,1_null,train
12584,225,D,12584_225_D.jpg,0,0,0,False,1_null,train
12584,315,D,12584_315_D.jpg,0,0,0,False,1_null,train
12584,45,D,12584_45_D.jpg,1,0,1,False,present,train
12584,135,E,12584_135_E.jpg,0,0,0,False,1_null,train
12584,225,E,12584_225_E.jpg,0,0,0,False,1_null,train
12584,315,E,12584_315_E.jpg,1,0,1,False,present,train
12584,45,E,12584_45_E.jpg,0,0,0,False,1_null,train
12584,135,F,12584_135_F.jpg,0,0,0,False,1_null,train
12584,225,F,12584_225_F.jpg,0,0,0,False,1_null,train
12584,315,F,12584_315_F.jpg,1,0,1,False,present,train
12584,45,F,12584_45_F.jpg,0,0,0,False,1_null,train
13736,135,A,13736_135_A.jpg,0,0,0,False,1_null,train
13736,225,A,13736_225_A.jpg,0,0,0,False,1_null,train
13736,315,A,13736_315_A.jpg,0,0,0,False,1_null,train
13736,45,A,13736_45_A.jpg,1,0,1,False,present,train
13736,135,B,13736_135_B.jpg,0,0,0,False,1_null,train
13736,225,B,13736_225_B.jpg,0,0,0,False,1_null,train
13736,315,B,13736_315_B.jpg,0,0,0,False,1_null,train
13736,45,B,13736_45_B.jpg,2,0,2,False,multiple_present,train
13736,135,C,13736_135_C.jpg,0,0,0,False,1_null,train
13736,225,C,13736_225_C.jpg,0,0,0,False,1_null,train
13736,315,C,13736_315_C.jpg,0,0,0,False,1_null,train
13736,45,C,13736_45_C.jpg,1,0,1,False,present,train
13736,135,D,13736_135_D.jpg,0,0,0,False,1_null,train
13736,225,D,13736_225_D.jpg,0,0,0,False,1_null,train
13736,315,D,13736_315_D.jpg,0,0,0,False,1_null,train
13736,45,D,13736_45_D.jpg,0,0,0,False,1_null,train
13736,135,E,13736_135_E.jpg,0,0,0,False,1_null,train
13736,225,E,13736_225_E.jpg,0,0,0,False,1_null,train
13736,315,E,13736_315_E.jpg,0,0,0,False,1_null,train
13736,45,E,13736_45_E.jpg,0,0,0,False,1_null,train
13736,135,F,13736_135_F.jpg,0,0,0,False,1_null,train
